id,Affiliation,Abbreviation,University,City,Affiliation En Name
162,Université Sultan Moulay Slimane,USMI, Université Sultan Moulay Slimane,Béni Mellal,Sultan Moulay Slimane University
163,Faculté d'Economie et de Gestion  ,FEG ,Université Sultan Moulay Slimane,Béni Mellal,Faculty of Economics and Management
164,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Sultan Moulay Slimane,Béni Mellal,Faculty of Letters and Humanities
165,Faculté Polydisciplinaire ,FP,Université Sultan Moulay Slimane,Béni Mellal,Multidisciplinary Faculty
166,Faculté Polydisciplinaire ,FP ,Université Sultan Moulay Slimane,Khouribga,Multidisciplinary Faculty
167,Faculté des Sciences et Techniques ,FST ,Université Sultan Moulay Slimane,Béni Mellal,Faculty of Sciences and Techniques
168,Faculté de Médecine et de Pharmacie ,FMP ,Université Sultan Moulay Slimane,Béni Mellal,Faculty of Medicine and Pharmacy
169,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Sultan Moulay Slimane,Béni Mellal,National School of Applied Sciences
170,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Sultan Moulay Slimane,Khouribga,National School of Applied Sciences
171,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Sultan Moulay Slimane,Béni Mellal,National School of Commerce and Management
172,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Sultan Moulay Slimane,Béni Mellal,Higher School of Education and Training
173,Ecole Supérieure de Technologie ,EST ,Université Sultan Moulay Slimane,Béni Mellal,Higher School of Technology
174,Ecole Supérieure de Technologie ,EST ,Université Sultan Moulay Slimane,Khénifra,Higher School of Technology
175,Ecole Supérieure de Technologie ,EST ,Université Sultan Moulay Slimane,Fquih Ben Salah,Higher School of Technology
